Frame ID,ArUCo ID,ArUCo 2D,ArUCo 3D (dist yaw pitch roll)
274,0,"[[408.0, 63.0], [467.0, 59.0], [472.0, 119.0], [415.0, 123.0]]","[0.8108200118641878, -1.6977067929951855, 8.621953676337467, -155.32392232184452]"
275,0,"[[412.0, 31.0], [469.0, 27.0], [473.0, 86.0], [415.0, 90.0]]","[0.8323186150983148, -2.6761919784350376, 4.915271889565712, -174.83470513234727]"
288,0,"[[228.0, 27.0], [288.0, 23.0], [294.0, 83.0], [236.0, 87.0]]","[0.8479043123573784, -9.305204960170801, -15.083474718009631, -150.69863558259075]"
289,0,"[[122.0, 12.0], [187.0, 8.0], [195.0, 68.0], [131.0, 74.0]]","[0.8194002498100366, -7.726693171836402, -7.952924901364022, 178.53385148996492]"
309,0,"[[681.0, 56.0], [746.0, 55.0], [746.0, 117.0], [681.0, 117.0]]","[0.7718211465958689, 1.1816046652881638, 6.552832502512917, 174.37611176287513]"
318,1,"[[672.0, 99.0], [698.0, 103.0], [694.0, 129.0], [669.0, 126.0]]","[1.8459772836558914, 6.345366876100711, -3.9999315225298986, -174.62875166245655]"
319,1,"[[702.0, 120.0], [727.0, 122.0], [724.0, 149.0], [698.0, 146.0]]","[1.8703785941716966, 13.482289606117293, 28.620669308227143, -159.61118428737208]"
320,1,"[[705.0, 120.0], [732.0, 123.0], [728.0, 151.0], [702.0, 150.0]]","[1.712899642100952, 1.523128060470269, -9.689426463834424, -166.58797291561203]"
321,1,"[[712.0, 116.0], [739.0, 117.0], [736.0, 147.0], [708.0, 144.0]]","[1.7205815534132576, 13.430303655065861, 32.676354519171134, -161.2615567261098]"
322,1,"[[737.0, 115.0], [765.0, 116.0], [762.0, 145.0], [735.0, 143.0]]","[1.7607306527540958, 12.613764622442087, 33.06980856684682, -156.42828394194592]"
323,1,"[[752.0, 111.0], [781.0, 113.0], [778.0, 142.0], [750.0, 141.0]]","[1.7096420297806407, 2.442332906280794, -1.2510991407614305, -172.1045142897805]"
324,1,"[[725.0, 92.0], [752.0, 93.0], [750.0, 123.0], [721.0, 123.0]]","[1.665027126478129, -1.1823271537144948, -7.479633673128485, -163.1715947520942]"
325,1,"[[688.0, 106.0], [714.0, 107.0], [712.0, 136.0], [684.0, 136.0]]","[1.6875223101780963, -1.61551889580138, -9.5763163075782, -161.43643435448536]"
326,1,"[[658.0, 88.0], [686.0, 90.0], [684.0, 121.0], [656.0, 119.0]]","[1.6037451064382509, 0.34052405359064103, -11.92198657191649, -171.2609959773754]"
327,1,"[[657.0, 92.0], [686.0, 94.0], [683.0, 124.0], [654.0, 123.0]]","[1.6344933641753439, 1.6479466288441817, -3.733022665138854, -164.42931396335658]"
328,1,"[[669.0, 80.0], [699.0, 82.0], [696.0, 114.0], [667.0, 113.0]]","[1.5470545318743572, -0.36811367780844145, -10.15159862300294, -167.29834227816744]"
329,1,"[[663.0, 75.0], [694.0, 77.0], [691.0, 109.0], [661.0, 108.0]]","[1.5478319585132896, 0.9118765071479956, -5.387606409606637, -167.80229618706622]"
330,1,"[[643.0, 73.0], [674.0, 76.0], [672.0, 109.0], [640.0, 107.0]]","[1.4816856119611257, 2.188401066366373, -6.999619114972893, -172.6279940322928]"
331,1,"[[664.0, 73.0], [696.0, 75.0], [693.0, 108.0], [661.0, 108.0]]","[1.4829450326972053, 0.13020196808775578, -4.761715454373135, -162.89784820290328]"
332,1,"[[676.0, 75.0], [709.0, 78.0], [704.0, 113.0], [673.0, 111.0]]","[1.4209065517755717, 0.8838223479736561, -10.694355293595844, -165.58332724460487]"
333,1,"[[674.0, 83.0], [707.0, 85.0], [704.0, 121.0], [671.0, 120.0]]","[1.377233727626358, -0.6716493505770208, -10.493004689516711, -166.30493913548878]"
334,1,"[[663.0, 73.0], [697.0, 75.0], [695.0, 112.0], [660.0, 110.0]]","[1.354705090003547, 1.0351927779479688, -6.840840065745211, -170.91330990795547]"
335,1,"[[648.0, 99.0], [684.0, 100.0], [682.0, 139.0], [647.0, 138.0]]","[1.2693455196897612, -1.5859296390589968, -10.955827284276127, -169.83616996553826]"
336,1,"[[676.0, 98.0], [714.0, 99.0], [712.0, 137.0], [674.0, 137.0]]","[1.2920583134250867, 1.589575668481383, 4.068423480707092, -170.65283652419305]"
337,1,"[[677.0, 98.0], [713.0, 99.0], [711.0, 137.0], [675.0, 137.0]]","[1.2969791896844969, -1.0770392779989393, -6.226386241196772, -167.805169482649]"
338,1,"[[703.0, 120.0], [742.0, 123.0], [739.0, 165.0], [700.0, 163.0]]","[1.163865948696618, 1.07088914392681, -9.462903777806147, -172.52225877363432]"
339,1,"[[713.0, 117.0], [755.0, 120.0], [752.0, 163.0], [710.0, 161.0]]","[1.1359643591050483, 2.487286105072593, -2.7595871559537897, -174.85329799453018]"
340,1,"[[732.0, 109.0], [777.0, 111.0], [773.0, 157.0], [730.0, 155.0]]","[1.089033085657908, 1.5240658559527507, -3.0740189222773724, -173.00351748016948]"
341,1,"[[732.0, 122.0], [777.0, 124.0], [774.0, 171.0], [730.0, 169.0]]","[1.058340340799975, 1.0975079562623784, -5.0825193772247745, -174.42282988591583]"
342,1,"[[759.0, 103.0], [807.0, 104.0], [805.0, 156.0], [757.0, 155.0]]","[0.9743385333211675, -0.7763233131405746, -7.139298876354302, -173.22567960703097]"
343,1,"[[769.0, 123.0], [819.0, 123.0], [819.0, 175.0], [768.0, 176.0]]","[0.957643471974986, -1.2828245862425771, -2.7838832083713303, -175.2830787548362]"
344,1,"[[806.0, 102.0], [862.0, 102.0], [862.0, 160.0], [805.0, 159.0]]","[0.8824473753944139, 0.17950514095292205, -1.1111857327454338, -179.12642177849023]"
345,1,"[[848.0, 125.0], [907.0, 127.0], [907.0, 189.0], [848.0, 188.0]]","[0.8172011657001088, 0.0780803617370556, -6.184017123089662, 179.827826425255]"
365,3,"[[487.0, 122.0], [503.0, 123.0], [502.0, 139.0], [486.0, 139.0]]","[2.8909467090489542, -0.8468867198957979, -9.885047148245706, -157.74219813020494]"
366,3,"[[492.0, 123.0], [509.0, 124.0], [508.0, 140.0], [492.0, 139.0]]","[2.846326428043525, 4.832950527285969, 6.394324987396961, -146.6748029849382]"
